Num,Category,Title,Author,Year,Tom,Quantity,Publisher,Notes
318,Укрліт,Повернення Тараса Бульби,Славко Полятинчук,2021,1,,Абетка,
319,Укрліт,Котилася торба,Василь Махно,2011,1,,Критика,
320,Укрліт,Винарні,Ігор Померанцев,2011,1,,,
321,Укрліт,Жанна Батальйонерка,Гео Шкурупій,2018,1,,Темпора,
322,Укрліт,Повість про санаторійну зону. Сентиментальна історія. Я (Романтика),Микола Хвильовий,2023,1,,Віхола,
323,Укрліт,Інститутка. Оповідання,Марко Вовчок,2023,1,,Віхола,
324,Укрліт,Майстер корабля. Байгород,Юрій Яновський,2023,1,,Віхола,
325,Укрліт,Записки Кирпатого Мефістофеля,Володимир Винниченко,2023,1,,Віхола,
326,Укрліт,Леся Українка. Вибрані твори,Леся Українка,2023,1,,Yakaboo,
327,Укрліт,Маруся,Григорій Квітка-Основʼяненко,2019,1,,Фоліо,
328,Укрліт,Енеїда,Іван Котляревський,2017,1,,Видавець Корбуш,
329,Українськість,Третій президент. Політичний портрет Леоніда Кучми,Юрій Луканов,1996,1,,Такі справи,
330,Українськість,Майдан пряма мова том 2,"О. Ю. Чебанюк, О. Ю. Ковальової",2019,2,,,
331,Українськість,Пісні рідного села. Українські народні пісні,А. Л. Путя,1987,1,,Музична Україна,
332,Українськість,Джерело української класики,,2019,1,,Клуб сімейного дозвілля,
333,Химерія,Гаррі Поттер і Таємна кімната,Дж. К. Ролінг,2002,1,,А-БА-БА-ГА-ЛА-МА-ГА,
334,Химерія,Гаррі Поттер і Вʼязень азкабану,Дж. К. Ролінг,2023,1,,А-БА-БА-ГА-ЛА-МА-ГА,
335,Химерія,Мертва зона,Стівен Кінг,2022,1,,КСД,
336,Химерія,Гаррі Поттер і Прокляте дитя,Дж. К. Ролінґ,2021,1,,А-БА-БА-ГА-ЛА-МА-ГА,
337,Нон-фікшн,Чотири священні секрети. Для любові та процвітання. Путівник до життя у красивому стані,Притаджі та Кришнаджі,2021,1,,Видавництво основи,
338,Нон-фікшн,Емоційна спритність,Сьюзен Девід,2018,1,,КСД,
339,Нон-фікшн,Спалах! Сила несвідомих думок або як не заважати мозку приймати рішення,Малколм Гладуелл,2017,1,,КСД,
340,Нон-фікшн,Людина в пошуках справжнього сенсу. Психолог у концтаборі,Віктор Франкл,2016,1,,КСД,
341,Нон-фікшн,Книжка про сміття,Галина Ткачук,2019,1,,Видавництво Старого Лева,
